x/time = 0.0037698745727539062,absolute_error,relative_error,function(a),function(b)
2.032258064516129,2.032258064516129,1.0,-1.484375,-1.0
1.0150878599861652,1.0171702045299638,1.0020513934072928,-1.0,67.41646631547886
1.0287976248640096,0.013709764877844366,0.013326007512562632,67.41646631547886,-0.9210765721872922
1.1769979474852685,0.14820032262125893,0.12591383267736223,-0.9210765721872922,-0.8430842529054652
1.1231178017137782,0.05388014577149036,0.047973726076885326,-0.8430842529054652,0.48160959787583346
1.1335833459815028,0.010465544267724614,0.009232267133091221,0.48160959787583346,-0.11609703629073831
1.1347566576200536,0.0011733116385508335,0.0010339764306928068,-0.11609703629073831,-0.011703728010563186
1.134724048600374,3.260901967960805e-05,2.8737400709744065e-05,-0.011703728010563186,0.00033457194776853605
1.1347241383944606,8.979408661069499e-08,7.913296595774e-08,0.00033457194776853605,-9.238406473155436e-07
1.1347241384015194,7.058797990566745e-12,6.220690629277215e-12,-9.238406473155436e-07,-7.261879986231179e-11
